"PID","X1_RP_Experience","X1_RP_Expression","X1_RP_Connection","X2_RP_Experience","X2_RP_Expression","X2_RP_Connection","X3_RP_Experience","X3_RP_Expression","X3_RP_Connection","X4_RP_Experience","X4_RP_Expression","X4_RP_Connection","X1_CF_Experience","X1_CF_Expression","X1_CF_Connection","X2_CF_Experience","X2_CF_Expression","X2_CF_Connection","X3_CF_Experience","X3_CF_Expression","X3_CF_Connection","X4_CF_Experience","X4_CF_Expression","X4_CF_Connection","Attn_Check_Never","Attn_Check_Much","X1_CC_Experience","X1_CC_Expression","X1_CC_Connection","X2_CC_Experience","X2_CC_Expression","X2_CC_Connection","X3_CC_Experience","X3_CC_Expression","X3_CC_Connection","X4_CC_Experience","X4_CC_Expression","X4_CC_Connection","X1_St_Experience","X1_St_Expression","X1_St_Connection","X2_St_Experience","X2_St_Expression","X2_St_Connection","X3_St_Experience","X3_St_Expression","X3_St_Connection","X4_St_Experience","X4_St_Expression","X4_St_Connection","Relationship.marital.status","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status"
5,"1","1","1","3","3","2","4","4","4","4","4","5","1","1","1","2","2","2","4","4","4","4","5",NA,"5","2","2","2","2","3","3","3","4","5",NA,"4","4","4","3","3","3","4","4","4","4","4","4","3","5",NA,"Married","35","Female","White","United States","United States","United States","English","Yes","Full-Time"
11,"2","2","3","2","2","3","5","5",NA,"4","4","4","1","2","3","3","2","3","3","4","3","4","4","3","5","2","2","2","2","3","3","3","3","5",NA,"5","5",NA,"3","3","3","5","5",NA,"5","5",NA,"3","5",NA,"Married","29","Male","White","United States","United States","United States","English","Yes","Part-Time"
400,"1","1","1","1","1","2","4","5",NA,"4","4","2","1","1","1","2","2","2","5","5",NA,"4","4","3","5","2","2","2","2","3","3","2","5","5",NA,"3","4","4","4","4","2","2","2","3","5","5",NA,"3","3","5","In a relationship","33","Male","White","United States","United States","United States","English","No","Full-Time"
85,"1","1","2","2","2","3","5","5",NA,"4","4","3","1","1","1","3","3","3","5","5",NA,"5","5",NA,"5","2","2","1","3","3","3","3","5","5",NA,"4","5",NA,"3","3","3","3","4","3","5","5",NA,"5","5",NA,"Married","41","Male","Mixed","United States","United States","United States","English","No","Full-Time"
288,"1","1","1","2","3","1","4","4","4","4","3","4","1","2","1","3","3","2","4","4","3","4","4","4","5","2","2","2","2","3","3","2","4","4","4","4","4","5","3","4","3","4","4","3","4","4","4","3","3","5","In a relationship","37","Male","White","United States","United States","United States","English","No","Full-Time"
197,"3","3","2","3","3","4","3","3","2","3","4","5","3","2","2","3","4","3","4","4","3","3","5",NA,"5","2","3","2","2","3","4","4","4","4","3","4","5",NA,"3","4","2","3","4","4","3","4","3","4","5",NA,"Married","35","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
32,"2","3","2","3","3","2","3","4","4","4","5",NA,"2","3","2","4","4","2","4","4","2","5","5",NA,"5","2","4","4","2","3","4","4","5","5",NA,"4","5",NA,"3","2","2","4","4","2","4","4","2","4","4","4","In a relationship","42","Male","White","United States","United States","United States","English","No","Part-Time"
269,"1","2","1","1","3","1","4","4","3","4","4","4","2","2","2","3","3","3","4","4","3","4","5",NA,"5","2","2","1","2","3","3","3","4","4","3","4","5",NA,"3","3","3","3","3","3","5","5",NA,"4","5",NA,"Married","37","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
200,"1","2","2","2","3","3","4","4","3","4","4","4","3","3","2","3","4","3","4","4","3","4","4","4","5","2","3","4","3","4","4","3","5","5",NA,"4","4","4","4","5",NA,"4","5",NA,"4","5",NA,"4","4","5","In a relationship","29","Male","White","United States","United States","United States","English","No","Full-Time"
306,"1","2","1","3","3","2","2","2","1","3","3","5","1","2","2","3","2","2","5","5",NA,"4","5",NA,"5","2","3","4","3","4","5",NA,"4","5",NA,"3","5",NA,"4","5",NA,"4","5",NA,"5","5",NA,"3","5",NA,"Married","33","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
37,"1","1","1","3","3","1","5","5",NA,"4","5",NA,"2","2","1","3","3","1","5","5",NA,"4","5",NA,"5","2","3","2","1","3","4","1","5","5",NA,"4","4","4","3","3","3","4","4","4","4","4","5","4","4","5","Married","42","Male","White","United States","United States","United States","English","No","Full-Time"
106,"2","3","1","4","4","3","4","5",NA,"4","4","4","3","3","2","3","4","3","4","4","2","4","4","3","5","2","3","3","2","3","5",NA,"4","4","3","4","4","4","3","4","3","3","5",NA,"4","5",NA,"3","4","5","Married","68","Male","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
397,"2","2","2","3","3","2","3","3","2","3","3","2","3","3","2","3","3","2","3","3","2","2","2","2","3","2","3","3","2","3","2","2","3","3","2","2","3","2","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"Married","36","Female","White","United States","United States","United States","English","No","Full-Time"
223,"1","1","1","2","2","1","5","5",NA,"4","4","5","1","1","1","3","3","2","5","5",NA,"5","5",NA,"5","2","1","1","1","3","3","2","5","5",NA,"5","5",NA,"1","1","2","4","4","3","5","5",NA,"5","5",NA,"Married","DATA_EXPIRED","Female","White","United States","United States","United States","English","No","Full-Time"
65,"3","3","2","3","2","2","3","3","2","3","2","4","2","2","1","3","4","2","3","3","3","4","3","3","5","2","3","3","2","3","4","3","4","4","3","3","4","4","3","4","2","5","5",NA,"4","5",NA,"3","3","4","In a relationship","52","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
38,"1","1","1","3","3","2","5","5",NA,"4","4","4","2","3","2","2","3","2","5","5",NA,"4","4","4","5","2","3","3","2","3","3","2","5","5",NA,"4","4","4","3","3","3","3","3","3","5","5",NA,"4","4","5","Engaged","41","Female","White","United States","United States","United States","English","No","Part-Time"
178,"1","1","1","2","2","1","5","5",NA,"5","5",NA,"1","1","1","2","2","1","5","5",NA,"5","5",NA,"5","2","1","1","1","2","1","1","5","5",NA,"5","5",NA,"4","4","5","5","5",NA,"5","5",NA,"2","1","5","In a relationship","50","Female","Asian","United States","United States","United States","English","No","Full-Time"
299,"1","1","1","3","3","1","4","5",NA,"3","4","3","1","1","1","3","2","1","5","5",NA,"4","4","2","5","2","2","1","2","3","4","2","5","5",NA,"4","5",NA,"3","3","2","3","4","4","5","5",NA,"5","5",NA,"In a relationship","48","Female","White","United States","United States","United States","English","No","Other"
322,"2","3","2","5","5",NA,"4","4","5","2","4","5","2","3","3","4","5",NA,"4","3","3","3","4","4","5","2","2","3","3","3","4","3","4","4","3","3","4","4","3","4","3","4","5",NA,"4","4","3","2","4","4","Married","45","Female","White","United States","United States","United States","English","No","DATA_EXPIRED"
90,"2","2","2","2","3","2","5","5",NA,"4","4","4","3","3","2","3","4","3","4","4","2","4","4","3","5","2","3","3","2","3","4","3","4","4","3","4","4","4","3","4","3","3","4","3","4","4","3","4","4","4","Married","38","Male","White","United States","United States","United States","English","No","Full-Time"
235,"1","1","2","1","1","1","4","4","2","4","4","1","1","1","1","1","1","1","3","3","2","1","4","1","5","2","3","3","3","3","3","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","2","3","In a relationship","39","Female","White","United States","United States","United States","English","No","Part-Time"
402,"2","3","2","2","4","4","1","4","2","2","4","4","1","1","2","3","5",NA,"3","5",NA,"3","4","4","5","2","3","2","3","4","5",NA,"5","5",NA,"4","5",NA,"3","3","2","4","4","3","5","5",NA,"3","4","2","Married","44","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
286,"2","2","2","3","3","2","4","4","4","4","4","4","3","4","2","4","4","2","5","5",NA,"4","4","4","5","2","2","2","1","4","4","3","5","5",NA,"3","4","3","2","2","2","5","5",NA,"5","5",NA,"4","4","5","Married","37","Male","White","United States","United States","United States","English","No","Full-Time"
28,"2","2","2","3","3","2","4","4","3","3","3","5","2","3","2","3","3","2","4","4","4","4","4","3","5","2","1","3","2","3","4","2","4","4","3","5","5",NA,"3","5",NA,"4","4","3","5","5",NA,"3","3","4","In a relationship","26","Female","White","United States","United States","United States","English","No","Full-Time"
396,"3","2","2","4","4","3","3","4","3","3","4","4","3","2","2","4","5",NA,"4","5",NA,"3","4","4","5","2","2","2","2","3","4","3","3","4","3","4","5",NA,"3","2","3","4","5",NA,"4","5",NA,"3","4","4","Married","42","Female","Asian","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
375,"2","3","3","5","5",NA,"4","4","3","4","4","5","3","4","2","3","4","3","4","4","2","4","4","4","5","2","3","4","3","5","5",NA,"5","5",NA,"4","4","4","4","5",NA,"5","5",NA,"5","5",NA,"4","5",NA,"In a relationship","32","Female","White","United States","United States","United States","English","No","Other"
179,"1","1","1","2","2","1","4","3","2","4","4","3","1","1","1","4","4","2","4","4","2","4","4","3","5","2","2","2","2","3","3","3","4","4","3","3","3","3","4","4","5","3","4","3","5","5",NA,"3","2","5","Married","55","Male","White","United States","United States","United States","English","No","Full-Time"
169,"2","2","1","5","4","2","4","4","3","4","4","4","2","2","2","4","5",NA,"3","3","3","4","4","2","5","2","2","3","2","3","5",NA,"4","3","3","4","5",NA,"3","4","1","4","5",NA,"3","3","2","3","5",NA,"Married","31","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
391,"2","1","2","3","5",NA,"4","3","3","3","5",NA,"1","1","2","3","3","2","5","5",NA,"5","5",NA,"5","2","3","2","3","3","5",NA,"5","5",NA,"4","4","3","4","3","5","4","4","3","5","5",NA,"4","4","4","Married","30","Female","White","United States","United States","United States","English","No","Part-Time"
9,"3","3","2","3","3","3","4","4","4","4","4","3","2","2","2","3","3","3","5","5",NA,"4","4","3","5","2","4","4","4","4","4","4","4","4","5","3","4","5","4","4","5","4","4","5","4","4","5","4","4","5","In a relationship","41","Male","White","United States","United States","United States","English","No","Full-Time"
267,"2","3","2","3","3","2","5","5",NA,"4","4","4","3","3","3","3","3","3","5","5",NA,"4","4","3","5","2","3","3","3","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"Married","38","Female","White","United States","United States","United States","English","No","Full-Time"
241,"1","2","1","2","4","2","3","4","4","5","5",NA,"2","3","2","3","4","4","4","4","4","5","5",NA,"5","2","1","2","1","3","3","4","5","5",NA,"4","5",NA,"3","3","2","4","5",NA,"5","5",NA,"4","4","5","Married","34","Male","White","United States","United States","United States","English","No","Full-Time"
162,"1","1","1","4","4","3","3","3","3","4","4","4","1","1","1","4","5",NA,"5","5",NA,"4","4","3","5","2","1","2","2","3","5",NA,"5","5",NA,"4","5",NA,"2","3","3","4","4","5","3","3","3","3","3","5","In a relationship","35","Female","White","United States","United States","United States","English","No","Full-Time"
276,"1","1","1","2","3","2","5","5",NA,"4","4","4","2","2","2","3","3","3","4","3","2","4","4","2","5","2","1","2","2","3","3","3","5","5",NA,"5","5",NA,"3","4","2","3","5",NA,"5","5",NA,"3","5",NA,"In a relationship","24","Female","Black","United States","United States","United States","English","No","Full-Time"
401,"1","2","2","3","3","2","5","5",NA,"4","4","3","2","2","2","3","3","2","4","4","3","4","5",NA,"5","2","3","2","3","3","3","3","4","4","3","4","5",NA,"3","3","3","3","3","3","4","4","3","3","3","3","Engaged","30","Female","White","United States","United States","United States","English","No","Full-Time"
84,"2","3","3","4","4","3","3","3","4","5","5",NA,"2","3","3","5","5",NA,"4","4","3","4","4","4","5","2","2","2","3","5","5",NA,"5","5",NA,"5","5",NA,"4","3","3","5","5",NA,"3","4","3","1","4","5","In a relationship","29","Male","White","United States","United States","United States","English","No","Full-Time"
160,"1","3","1","3","3","3","4","5",NA,"4","4","4","2","3","1","3","4","2","4","5",NA,"4","5",NA,"5","2","2","3","1","2","4","3","5","5",NA,"4","5",NA,"3","5",NA,"3","4","3","5","5",NA,"4","5",NA,"Married","38","Female","White","United States","United States","United States","English","No","Part-Time"
105,"1","3","1","2","4","2","4","5",NA,"4","4","4","1","2","1","2","4","2","4","4","4","4","4","2","5","2","2","3","2","2","4","2","5","5",NA,"4","4","4","2","3","2","3","4","3","5","5",NA,"4","4","5","Married","58","Male","White","United States","United States","United States","English","No","Full-Time"
259,"1","3","1","1","4","2","4","4","2","4","4","5","2","4","2","1","4","2","4","4","3","4","4","5","5","2","2","3","2","2","5",NA,"5","5",NA,"4","4","4","3","5",NA,"3","4","3","4","5",NA,"3","4","3","In a relationship","39","Male","White","United States","United States","United States","English","No","Full-Time"
374,"1","1","1","2","3","2","4","4","2","4","4","4","1","2","1","3","4","3","5","5",NA,"4","5",NA,"5","2","2","2","2","2","3","2","4","5",NA,"4","5",NA,"3","4","3","4","5",NA,"4","5",NA,"4","4","5","Married","34","Female","White","United States","United States","United States","English","No","Full-Time"
294,"4","3","3","5","5",NA,"2","4","4","1","3","5","1","1","1","5","5",NA,"4","4","2","5","5",NA,"5","2","1","4","2","4","5",NA,"4","5",NA,"4","5",NA,"3","5",NA,"5","5",NA,"5","5",NA,"4","5",NA,"Married","57","Female","White","United States","United States","United States","English","No","Full-Time"
41,"2","1","1","2","1","1","4","4","3","4","3","5","1","2","1","1","3","1","4","5",NA,"4","4","3","5","2","1","2","1","2","2","1","4","4","4","3","4","5","3","3","2","3","4","3","4","4","4","3","4","4","Married","38","Male","White","United States","United States","United States","English","No","Full-Time"
101,"2","3","2","4","4","3","4","4","4","3","4","4","2","3","2","3","4","3","4","4","3","5","4","4","5","2","3","3","2","5","5",NA,"5","5",NA,"4","5",NA,"3","3","2","4","4","2","4","5",NA,"4","4","5","Married","36","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
330,"2","3","3","5","5",NA,"4","5",NA,"4","4","5","4","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"5","2","3","4","3","5","5",NA,"5","5",NA,"5","5",NA,"3","4","3","5","5",NA,"5","5",NA,"5","5",NA,"Married","43","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
361,"2","3","2","4","3","3","3","4","4","3","4","5","2","3","2","2","3","2","5","5",NA,"5","5",NA,"5","2","2","3","2","3","4","3","4","5",NA,"4","5",NA,"3","4","2","3","3","2","4","4","3","4","4","3","Married","37","Male","White","United States","United States","United States","English","No","Full-Time"
93,"1","2","1","3","3","2","4","4","3","4","4","2","2","2","2","3","3","2","5","4","3","4","4","2","5","2","2","2","2","3","4","3","5","5",NA,"4","4","3","3","4","3","4","4","3","5","5",NA,"4","5",NA,"Married","61","Female","White","United States","United States","United States","English","No","Full-Time"
316,"1","1","3","4","4","3","3","3","4","4","3","5","1","1","1","3","5",NA,"4","4","2","5","5",NA,"5","2","1","2","3","3","5",NA,"5","5",NA,"5","5",NA,"1","2","2","4","5",NA,"5","5",NA,"5","5",NA,"Married","DATA_EXPIRED","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
176,"1","1","1","3","3","2","4","4","2","4","4","4","1","1","1","2","3","1","4","1","2","4","4","4","5","2","2","1","1","2","2","1","4","4","2","4","4","4","3","2","2","3","4","4","4","4","4","3","4","5","Engaged","28","Female","Black","United States","United States","United States","English","No","Full-Time"
274,"1","2","2","4","4","3","4",NA,"2","4","4","4","3","4","3","3","3","3","3","4","2","4","4","3","5","2","2","4","2","3","5",NA,"4","4","3","4","5",NA,"3","4","2","4","3","5","5","5",NA,"4","5",NA,"Married","43","Male","White","United States","United States","United States","English","No","Full-Time"
144,"2","2","1","3","3","2","5","5",NA,"4","4","5","1","1","1","2","4","3","3","3","4","4","4","5","5","2","5","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"3","3","3","3","4","2","4","4","5","3","3","5","In a relationship","40","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
358,"1","2","1","2","3","3","4","3","4","4","4","5","2","3","2","2","3","2","4","4","3","4","4","4","5","2","2","3","2","3","4","3","4","4","3","3","4","5","4","2","3","3","4","3","4","4","3","4","4","3","In a relationship","25","Prefer not to say","White","United States","United States","United States","English","No","Full-Time"
215,"2","3","1","3","2","2","3","4","4","4","4","5","3","3","2","3","3","2","4","4","2","5","5",NA,"5","2","3","3","2","3","3","3","4","4","2","3","4","5","2","2","2","3","4","2","4","4","2","4","4","3","In a relationship","30","Female","White","United States","United States","United States","English","Yes","Part-Time"
185,"2","3","2","3","3","2","4","4","2","4","4","3","3","2","2","3","3","2","5","5",NA,"4","5",NA,"5","2","3","2","2","3","3","2","5","5",NA,"4","5",NA,"3","2","3","3","3","3","4","5",NA,"4","5",NA,"In a relationship","41","Male","White","United States","United States","United States","English","No","Full-Time"
255,"2","1","1","3","3","3","3","2","2","3","2","4","1","3","1","3","4","3","4","4","4","4","4","4","5","2","2","1","2","2","4","3","4","4","2","4","5",NA,"3","2","3","4","4","3","4","4","3","3","2","5","Married","42","Male","White","United States","United States","United States","English","No","Full-Time"
395,"2","2","2","2","2","1","4","4","3","4","4","2","2","2","1","4","4","2","5","5",NA,"4","4","3","5","2","3","3","2","4","4","3","5","5",NA,"5","5",NA,"3","3","2","5","5",NA,"5","5",NA,"5","5",NA,"Married","32","Male","White","United States","United States","United States","English","No","DATA_EXPIRED"
296,"1","1","1","1","1","2","5","4","4","3","3","4","1","1","1","2","3","3","5","5",NA,"4","5",NA,"5","2","2","3","2","3","3","3","5","5",NA,"5","5",NA,"3","3","2","1","4","3","5","5",NA,"1","3","5","Married","27","Female","White","United States","United States","United States","English","No","Full-Time"
117,"2","2","1","2","2","1","3","3","2","4","4","2","3","3","2","3","3","2","4","4","2","4","4","2","5","2","2","3","2","3","3","2","4","5",NA,"4","4","3","3","4","3","4","4","4","4","4","4","3","4","4","Married","47","Male","White","United States","United States","United States","English","No","Full-Time"
91,"1","1","1","1","1","1","5","5",NA,"5","5",NA,"2","2","2","2","2","2","5","5",NA,"4","4","3","5","2","2","2","2","2","2","2","5","5",NA,"5","5",NA,"3","3","3","4","3","4","5","5",NA,"5","5",NA,"In a relationship","29","Male","White","United States","United States","United States","English","No","Part-Time"
75,"2","2","2","5","5",NA,"3","3","3","3","4","4","3","3","3","4","5",NA,"3","3","3","3","3","3","5","2","2","2","2","4","5",NA,"3","3","3","3","4","3","3","3","5","5","5",NA,"4","5",NA,"3","3","5","Married","36","Male","White","United States","United States","United States","English","No","Part-Time"
166,"3","4","2","3","3","2","3","4","2","3","3","4","2","2","1","3","4","3","5","5",NA,"4","4","1","5","2","2","2","3","3","4","2","5","5",NA,"4","4","4","3","2","3","4","3","3","3","4","5","4","5",NA,"Married","62","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
97,"3","3","2","3","4","3","4","5",NA,"3","3","5","1","2","1","2","2","1","5","5",NA,"4","4","4","5","2","3","4","2","3","5",NA,"5","5",NA,"4","5",NA,"3","3","3","3","4","3","5","5",NA,"4","5",NA,"In a relationship","37","Female","White","United States","United States","United States","English","No","Part-Time"
194,"1","1","1","3","4","2","4","4","3","3","4","2","3","3","2","4","4","2","4","4","3","3","4","3","5","2","2","3","2","3","4","2","4","5",NA,"3","4","3","3","3","2","4","5",NA,"4","5",NA,"3","5",NA,"Married","38","Male","White","United States","United States","United States","English","No","Full-Time"
251,"1","3","1","2","2","1","3","3","2","3","4","4","1","1","1","3","3","1","3","4","2","4","4","4","5","2","1","1","2","3","3","1","5","5",NA,"4","5",NA,"4","4","2","4","5",NA,"5","5",NA,"3","4","5","Married","32","Female","White","United States","United States","United States","English","No","Full-Time"
328,"1","1","1","3","3","3","5","5",NA,"5","5",NA,"2","2","1","3","4","3","5","5",NA,"5","5",NA,"5","2","3","4","3","3","5",NA,"5","5",NA,"5","5",NA,"4","5",NA,"4","5",NA,"5","5",NA,"5","5",NA,"In a relationship","32","Male","White","United States","United States","United States","English","No","Full-Time"
381,"1","1","2","3","3","2","4","4","2","3","4","2","3","3","2","4","4","2","4","4","2","5","5",NA,"5","2","5","4","3","4","4","3","4","4","3","4","4","3","4","4","3","4","5",NA,"5","5",NA,"5","5",NA,"Married","51","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
287,"1","3","1","3","3","2","3","4","4","4","4","2","1","3","2","4","4","3","4","5",NA,"4","4","2","5","2","2","2","2","3","4","2","3","3","2","4","4","2","4","4","3","4","4","4","5","5",NA,"4","4","4","Married","79","Male","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED"
253,"1","2","1","4","5",NA,"1","1","5","3","3","5","2","2","2","4","5",NA,"5","5",NA,"5","5",NA,"5","2","1","2","2","3","4","3","4","4","4","4","5",NA,"4","3","2","3","5",NA,"4","5",NA,"5","5",NA,"Married","51","Male","White","United States","United States","United States","English","No","Full-Time"
111,"1","1","1","2","2","2","4","4","3","3","4","4","2","2","2","2","2","2","4","4","3","4","4","4","5","2","2","2","2","3","3","2","5","5",NA,"4","5",NA,"5","5",NA,"5","5",NA,"5","5",NA,"4","5",NA,"Married","50","Female","White","United States","United States","United States","English","No","Full-Time"
275,"1","1","1","3","3","2","4","4","5","3","3","5","1","1","2","3","3","3","5","4","4","4","4","4","5","2","2","2","2","4","4","3","5","5",NA,"5","5",NA,"2","2","3","4","4","3","5","5",NA,"5","5",NA,"Married","42","Female","White","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)"
386,"2","2","1","3","3","2","4","4","4","3","3","4","2","3","2","3","3","2","5","5",NA,"3","3","4","5","2","2","3","1","2","4","2","4","4","2","3","4","4","3","4","2","3","4","2","5","5",NA,"3","3","4","Married","45","Female","White","United States","United States","United States","English","No","Full-Time"
